"","Group.1","Group.2","Group.3","weight_count"
"5817",432,"City Slickers II: The Legend of Curly's Gold (1994)","Western",2.96594387755102
"6719",996,"Last Man Standing (1996)","Western",2.90625
"1470",2016,"Apple Dumpling Gang Rides Again, The (1979)","Western",2.6605504587156
"2238",2701,"Wild Wild West (1999)","Western",2.48231707317073
"12713",527,"Schindler's List (1993)","War",5.18697916666667
"13212",750,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)","War",5.11737381126555
"1366",912,"Casablanca (1942)","War",5.0747453565009
"1180",1204,"Lawrence of Arabia (1962)","War",5.06221419975933
"2020",1250,"Bridge on the River Kwai, The (1957)","War",5.04504264392324
"2227",1262,"Great Escape, The (1963)","War",5.03290229885057
"5516",2028,"Saving Private Ryan (1998)","War",4.98795702977761
"1820",1233,"Boat, The (Das Boot) (1981)","War",4.9481018981019
"9102",1196,"Star Wars: Episode V - The Empire Strikes Back (1980)","War",4.93692307692308
"1725",1224,"Henry V (1989)","War",4.92934272300469
"2424",1272,"Patton (1970)","War",4.90666666666667
"1398",969,"African Queen, The (1951)","War",4.88940397350993
"2827",1299,"Killing Fields, The (1984)","War",4.88592896174863
"1348",1208,"Apocalypse Now (1979)","War",4.8796768707483
"5102",110,"Braveheart (1995)","War",4.8702005730659
"2127",1256,"Duck Soup (1933)","War",4.84200336700337
"1920",1242,"Glory (1989)","War",4.82234712230216
"8116",3035,"Mister Roberts (1955)","War",4.77209026128266
"10100",1200,"Aliens (1986)","War",4.7446978021978
"2619",1294,"M*A*S*H (1970)","War",4.7433575978162
"1619",1222,"Full Metal Jacket (1987)","War",4.72747208931419
"2320",1263,"Deer Hunter, The (1978)","War",4.7265
"3108",1090,"Platoon (1986)","War",4.70363079615048
"10515",356,"Forrest Gump (1994)","War",4.70116226071103
"5615",2067,"Doctor Zhivago (1965)","War",4.67544326241135
"1447",1210,"Star Wars: Episode VI - Return of the Jedi (1983)","War",4.62632674297607
"7914",2944,"Dirty Dozen, The (1967)","War",4.60487977369166
"1376",920,"Gone with the Wind (1939)","War",4.59701557093426
"5417",1960,"Last Emperor, The (1987)","War",4.57287735849057
"10912",3654,"Guns of Navarone, The (1961)","War",4.55876494023904
"10416",3545,"Cabaret (1972)","War",4.48837471783296
"6103",1178,"Paths of Glory (1957)","War",4.47391304347826
"6817",2662,"War of the Worlds, The (1953)","War",4.43716814159292
"3125",1408,"Last of the Mohicans, The (1992)","War",4.38533333333333
"7614",2890,"Three Kings (1999)","War",4.3781096963761
"8814",3134,"Grand Illusion (Grande illusion, La) (1937)","War",4.33939393939394
"11414",3753,"Patriot, The (2000)","War",4.30693548387097
"10218",3448,"Good Morning, Vietnam (1987)","War",4.29390018484288
"4106",1094,"Crying Game, The (1992)","War",4.29121236777868
"8614",3091,"Kagemusha (1980)","War",4.28368794326241
"4024",161,"Crimson Tide (1995)","War",4.28223684210526
"1539",1217,"Ran (1985)","War",4.26890756302521
"9215",3196,"Stalag 17 (1953)","War",4.22842639593909
"5013",1927,"All Quiet on the Western Front (1930)","War",4.19402985074627
"7102",1183,"English Patient, The (1996)","War",4.15116279069767
"3617",151,"Rob Roy (1995)","War",4.12671480144404
"5215",1939,"Best Years of Our Lives, The (1946)","War",4.1228813559322
"11910",3811,"Breaker Morant (1980)","War",4.10277777777778
"5313",1944,"From Here to Eternity (1953)","War",4.09615384615385
"12914",647,"Courage Under Fire (1996)","War",4.08628117913832
"1349",780,"Independence Day (ID4) (1996)","War",4.03696531791907
"7015",2670,"Run Silent, Run Deep (1958)","War",4
"2523",1289,"Koyaanisqatsi (1983)","War",3.97252747252747
"8414",3062,"Longest Day, The (1962)","War",3.97159090909091
"11215",3742,"Battleship Potemkin, The (Bronenosets Potyomkin) (1925)","War",3.97008547008547
"12213",41,"Richard III (1995)","War",3.95867768595041
"5913",2202,"Lifeboat (1944)","War",3.94366197183099
"6717",266,"Legends of the Fall (1994)","War",3.93936170212766
"12011",3836,"Kelly's Heroes (1970)","War",3.90933333333333
"6515",2427,"Thin Red Line, The (1998)","War",3.90828144458281
"9415",3342,"Birdy (1984)","War",3.85650224215247
"1384",946,"To Be or Not to Be (1942)","War",3.85093167701863
"2126",1078,"Bananas (1971)","War",3.83602150537634
"9613",3366,"Where Eagles Dare (1969)","War",3.81132075471698
"10114",3441,"Red Dawn (1984)","War",3.76715789473684
"10014",3406,"Captain Horatio Hornblower (1951)","War",3.75238095238095
"6917",2669,"Pork Chop Hill (1959)","War",3.73831775700935
"11115",3724,"Coming Home (1978)","War",3.71794871794872
"8514",3066,"Tora! Tora! Tora! (1970)","War",3.70103092783505
"2726",1298,"Pink Floyd - The Wall (1982)","War",3.64082687338501
"7816",2941,"South Pacific (1958)","War",3.61428571428571
"4419",1676,"Starship Troopers (1997)","War",3.60326741186586
"4126",1616,"Peacemaker, The (1997)","War",3.55772151898734
"14111",991,"Michael Collins (1996)","War",3.52352941176471
"3920",1586,"G.I. Jane (1997)","War",3.50987432675045
"6116",2287,"Them! (1954)","War",3.43928571428571
"10811",3643,"Fighting Seabees, The (1944)","War",3.43564356435644
"4219",1619,"Seven Years in Tibet (1997)","War",3.42817679558011
"10715",3628,"Flying Tigers (1942)","War",3.41584158415842
"1259",1205,"Transformers: The Movie, The (1986)","War",3.38095238095238
"10315",3519,"Force 10 from Navarone (1978)","War",3.34673366834171
"6616",2476,"Heartbreak Ridge (1986)","War",3.34666666666667
"2925",1391,"Mars Attacks! (1996)","War",3.33542830540037
"12312",465,"Heaven & Earth (1993)","War",3.31428571428571
"5815",2106,"Swing Kids (1993)","War",3.2972972972973
"6315",2402,"Rambo: First Blood Part II (1985)","War",3.24925187032419
"12411",466,"Hot Shots! Part Deux (1993)","War",3.2151832460733
"8314",3053,"Messenger: The Story of Joan of Arc, The (1999)","War",3.01759530791789
"6214",2322,"Soldier (1998)","War",2.93103448275862
"12612",516,"Renaissance Man (1994)","War",2.87096774193548
"3419",1488,"Devil's Own, The (1997)","War",2.85763888888889
"4816",1920,"Small Soldiers (1998)","War",2.81043956043956
"3819",157,"Canadian Bacon (1994)","War",2.73262032085561
"7115",2815,"Iron Eagle (1986)","War",2.59409594095941
"11515",3766,"Missing in Action (1984)","War",2.53926701570681
"6416",2404,"Rambo III (1988)","War",2.3421926910299
"13113",688,"Operation Dumbo Drop (1995)","War",2.27699530516432
"12510",473,"In the Army Now (1994)","War",2.22516556291391
"3219",1445,"McHale's Navy (1997)","War",2.17307692307692
"11614",3767,"Missing in Action 2: The Beginning (1985)","War",2.08653846153846
"7219",2816,"Iron Eagle II (1988)","War",1.86486486486486
"7314",2817,"Aces: Iron Eagle III (1992)","War",1.64
"4504",745,"Close Shave, A (1995)","Thriller",5.1986301369863
"4153",50,"Usual Suspects, The (1995)","Thriller",5.19467190128996
"4691",904,"Rear Window (1954)","Thriller",5.14761904761905
"2317",1212,"Third Man, The (1949)","Thriller",5.11989583333333
"2494",2762,"Sixth Sense, The (1999)","Thriller",5.06720211468076
"4716",908,"North by Northwest (1959)","Thriller",5.04163498098859
"4274",593,"Silence of the Lambs, The (1991)","Thriller",5.00459658650116
"3118",1252,"Chinatown (1974)","Thriller",4.99012658227848
"3415",1267,"Manchurian Candidate, The (1962)","Thriller",4.98333333333333
"2318",2571,"Matrix, The (1999)","Thriller",4.96320463320463
"1672",2186,"Strangers on a Train (1951)","Thriller",4.95072614107884
"4772",930,"Notorious (1946)","Thriller",4.9385393258427
"4681",903,"Vertigo (1958)","Thriller",4.91386740331492
"4302",608,"Fargo (1996)","Thriller",4.89287703939514
"7813",1617,"L.A. Confidential (1997)","Thriller",4.85231643356643
"2616",1219,"Psycho (1960)","Thriller",4.85130641330166
"2918",1248,"Touch of Evil (1958)","Thriller",4.84834630350195
"4415",1358,"Sling Blade (1996)","Thriller",4.8393797790994
"1518",111,"Taxi Driver (1976)","Thriller",4.81145161290322
"3516",1269,"Arsenic and Old Lace (1944)","Thriller",4.79337797619048
"2417",1214,"Alien (1979)","Thriller",4.78352272727273
"3003",3147,"Green Mile, The (1999)","Thriller",4.77786415711948
"2818",1240,"Terminator, The (1984)","Thriller",4.77485700667302
"1319",1089,"Reservoir Dogs (1992)","Thriller",4.75619539316918
"2117",1200,"Aliens (1986)","Thriller",4.7446978021978
"6100",1036,"Die Hard (1988)","Thriller",4.74012605042017
"4093",47,"Seven (Se7en) (1995)","Thriller",4.72238346525945
"2773",293,"Professional, The (a.k.a. Leon: The Professional) (1994)","Thriller",4.72210184182015
"4063",457,"Fugitive, The (1993)","Thriller",4.71874686716792
"4793",933,"To Catch a Thief (1955)","Thriller",4.71681715575621
"1408",1953,"French Connection, The (1971)","Thriller",4.71353077816492
"3173",3334,"Key Largo (1948)","Thriller",4.69479392624729
"4742",924,"2001: A Space Odyssey (1968)","Thriller",4.67907925407925
"4254",589,"Terminator 2: Judgment Day (1991)","Thriller",4.66728954322386
"7512",1610,"Hunt for Red October, The (1990)","Thriller",4.65986682808717
"2753",2917,"Body Heat (1981)","Thriller",4.63650793650794
"3013",1249,"Nikita (La Femme Nikita) (1990)","Thriller",4.606275579809
"9410",1674,"Witness (1985)","Thriller",4.59560229445507
"2684",2871,"Deliverance (1972)","Thriller",4.53216735253772
"12410",1834,"Spanish Prisoner, The (1997)","Thriller",4.53002028397566
"3613",1274,"Akira (1988)","Thriller",4.52367256637168
"3453",3551,"Marathon Man (1976)","Thriller",4.5195
"8013",1625,"Game, The (1997)","Thriller",4.50090702947846
"2245",2542,"Lock, Stock & Two Smoking Barrels (1998)","Thriller",4.48224
"4354",628,"Primal Fear (1996)","Thriller",4.48144329896907
"4284",6,"Heat (1995)","Thriller",4.46053191489362
"2144",247,"Heavenly Creatures (1994)","Thriller",4.44570230607966
"2892",3044,"Dead Again (1991)","Thriller",4.43430531732418
"4104",474,"In the Line of Fire (1993)","Thriller",4.3988683127572
"4632",866,"Bound (1996)","Thriller",4.39694055944056
"1089",1748,"Dark City (1998)","Thriller",4.39605263157895
"1557",2160,"Rosemary's Baby (1968)","Thriller",4.39164325842697
"7112",16,"Casino (1995)","Thriller",4.36224340175953
"1397",1921,"Pi (1998)","Thriller",4.35986949429037
"1926",2288,"Thing, The (1982)","Thriller",4.35323886639676
"3353",3510,"Frequency (2000)","Thriller",4.32265529841657
"2083",2391,"Simple Plan, A (1998)","Thriller",4.31442953020134
"3104",3256,"Patriot Games (1992)","Thriller",4.3125
"3215",1260,"M (1931)","Thriller",4.30194805194805
"10610",1732,"Big Lebowski, The (1998)","Thriller",4.29913400182315
"3321",349,"Clear and Present Danger (1994)","Thriller",4.28508026440038
"7413",161,"Crimson Tide (1995)","Thriller",4.28223684210526
"4474",733,"Rock, The (1996)","Thriller",4.28160447761194
"1718",2203,"Shadow of a Doubt (1943)","Thriller",4.27038626609442
"9114",1653,"Gattaca (1997)","Thriller",4.26792014856082
"3521",3634,"Seven Days in May (1964)","Thriller",4.25454545454545
"4404",678,"Some Folks Call It a Sling Blade (1993)","Thriller",4.24509803921569
"3123",3267,"Mariachi, El (1992)","Thriller",4.24047619047619
"2064",2353,"Enemy of the State (1998)","Thriller",4.24033400809717
"14110",1994,"Poltergeist (1982)","Thriller",4.23691823899371
"1617",1127,"Abyss, The (1989)","Thriller",4.23655976676385
"2742",2916,"Total Recall (1990)","Thriller",4.23471943887776
"3043",3203,"Dead Calm (1989)","Thriller",4.22977867203219
"4019",1343,"Cape Fear (1991)","Thriller",4.2216885007278
"2963",3101,"Fatal Attraction (1987)","Thriller",4.22001246882793
"4752",928,"Rebecca (1940)","Thriller",4.20466321243523
"3391",3527,"Predator (1987)","Thriller",4.20188897455667
"2519",1218,"Killer, The (Die xue shuang xiong) (1989)","Thriller",4.19672131147541
"2504",2763,"Thomas Crown Affair, The (1999)","Thriller",4.18815426997245
"1743",2208,"Lady Vanishes, The (1938)","Thriller",4.18592964824121
"4722",911,"Charade (1963)","Thriller",4.18300653594771
"2634",2841,"Stir of Echoes (1999)","Thriller",4.17022587268994
"1476",2058,"Negotiator, The (1998)","Thriller",4.14949937421777
"7311",1608,"Air Force One (1997)","Thriller",4.12653345724907
"3302",3476,"Jacob's Ladder (1990)","Thriller",4.11551724137931
"4715",1407,"Scream (1996)","Thriller",4.11196388261851
"3733",3763,"F/X (1986)","Thriller",4.10620542082739
"1887",2273,"Rush Hour (1998)","Thriller",4.10111642743222
"3753",377,"Speed (1994)","Thriller",4.10027272727273
"4702",906,"Gaslight (1944)","Thriller",4.09625668449198
"9014",165,"Die Hard: With a Vengeance (1995)","Thriller",4.09539393939394
"4053",454,"Firm, The (1993)","Thriller",4.07942961165049
"1229",1086,"Dial M for Murder (1954)","Thriller",4.07915567282322
"4815",965,"39 Steps, The (1935)","Thriller",4.07509881422925
"1420",1092,"Basic Instinct (1992)","Thriller",4.07323568575233
"4614",1370,"Die Hard 2 (1990)","Thriller",4.07312775330396
"1170",10,"GoldenEye (1995)","Thriller",4.07162162162162
"3472",3555,"U-571 (2000)","Thriller",4.07059471365639
"1894",2278,"Ronin (1998)","Thriller",4.05638957816377
"3317",1264,"Diva (1981)","Thriller",4.05447470817121
"1455",2009,"Soylent Green (1973)","Thriller",4.0468009478673
"2582",2819,"Three Days of the Condor (1975)","Thriller",4.04075235109718
"2193",2490,"Payback (1999)","Thriller",4.03169469598965
"2435",2707,"Arlington Road (1999)","Thriller",4.03044164037855
"3014",3176,"Talented Mr. Ripley, The (1999)","Thriller",4.02888805409466
"3893",3893,"Nurse Betty (2000)","Thriller",4.02808586762075
"4243",587,"Ghost (1990)","Thriller",4.02090747330961
"1374",1909,"X-Files: Fight the Future, The (1998)","Thriller",4.01691767068273
"1736",2206,"Suspicion (1941)","Thriller",4.01197604790419
"8100",1047,"Long Kiss Goodnight, The (1996)","Thriller",4.00645161290323
"4582",832,"Ransom (1996)","Thriller",4.00053191489362
"1717",1129,"Escape from New York (1981)","Thriller",3.98467194570136
"8215",163,"Desperado (1995)","Thriller",3.97601851851852
"1198",1805,"Wild Things (1998)","Thriller",3.96253993610224
"3416",353,"Crow, The (1994)","Thriller",3.96232970027248
"3672",3728,"One False Move (1991)","Thriller",3.95945945945946
"10512",1722,"Tomorrow Never Dies (1997)","Thriller",3.95829466357309
"8712",1645,"Devil's Advocate, The (1997)","Thriller",3.95121065375303
"1707",2202,"Lifeboat (1944)","Thriller",3.94366197183099
"2224",2527,"Westworld (1973)","Thriller",3.93459119496855
"1645",2183,"Man Who Knew Too Much, The (1956)","Thriller",3.93296089385475
"1050",1069,"Murder, My Sweet (1944)","Thriller",3.92727272727273
"4118",1344,"Cape Fear (1962)","Thriller",3.92243767313019
"6913",1597,"Conspiracy Theory (1997)","Thriller",3.91652281134402
"3643",3706,"Angel Heart (1987)","Thriller",3.91462053571429
"4781",931,"Spellbound (1945)","Thriller",3.9126213592233
"6613",1573,"Face/Off (1997)","Thriller",3.91129486277269
"3333",350,"Client, The (1994)","Thriller",3.90106796116505
"1576",2176,"Rope (1948)","Thriller",3.89528795811518
"3022",319,"Shallow Grave (1994)","Thriller",3.89377289377289
"4192",543,"So I Married an Axe Murderer (1993)","Thriller",3.89178885630499
"2954",3082,"World Is Not Enough, The (1999)","Thriller",3.88625290023202
"2863",3005,"Bone Collector, The (1999)","Thriller",3.883046875
"1345",1892,"Perfect Murder, A (1998)","Thriller",3.87730673316708
"3342",3505,"No Way Out (1987)","Thriller",3.87323943661972
"2717",1227,"Once Upon a Time in America (1984)","Thriller",3.86307053941909
"3682",373,"Red Rock West (1992)","Thriller",3.85658914728682
"3702",3755,"Perfect Storm, The (2000)","Thriller",3.85414610069102
"3363",3513,"Rules of Engagement (2000)","Thriller",3.8497619047619
"4143",494,"Executive Decision (1996)","Thriller",3.84807692307692
"7910",1620,"Kiss the Girls (1997)","Thriller",3.83721518987342
"1785",2212,"Man Who Knew Too Much, The (1934)","Thriller",3.8359375
"3793",3798,"What Lies Beneath (2000)","Thriller",3.83498920086393
"2373",2617,"Mummy, The (1999)","Thriller",3.82000993048659
"3963",3952,"Contender, The (2000)","Thriller",3.78092783505155
"3232",3409,"Final Destination (2000)","Thriller",3.76318082788671
"969",1683,"Wings of the Dove, The (1997)","Thriller",3.76146788990826
"2763",292,"Outbreak (1995)","Thriller",3.75907230559345
"6312",1552,"Con Air (1997)","Thriller",3.75618448637317
"1266",1845,"Zero Effect (1998)","Thriller",3.75083056478405
"3884",3863,"Cell, The (2000)","Thriller",3.75060790273556
"2819",2967,"Bad Seed, The (1956)","Thriller",3.74803149606299
"2795",2952,"Hard 8 (a.k.a. Sydney, a.k.a. Hard Eight) (1996)","Thriller",3.74731182795699
"2342",2600,"eXistenZ (1999)","Thriller",3.74451219512195
"3061",3219,"Pacific Heights (1990)","Thriller",3.74328859060403
"3614",3686,"Flatliners (1990)","Thriller",3.74237288135593
"3923",3936,"Phantom of the Opera, The (1943)","Thriller",3.72321428571429
"3444",3546,"What Ever Happened to Baby Jane? (1962)","Thriller",3.7219730941704
"3242",3420,"...And Justice for All (1979)","Thriller",3.71356783919598
"1519",2118,"Dead Zone, The (1983)","Thriller",3.70247933884298
"3423",3535,"American Psycho (2000)","Thriller",3.70190476190476
"2704",2881,"Double Jeopardy (1999)","Thriller",3.68117048346056
"5414",1479,"Saint, The (1997)","Thriller",3.67673179396092
"3504",3623,"Mission: Impossible 2 (2000)","Thriller",3.67509520182787
"1382",1917,"Armageddon (1998)","Thriller",3.67067567567568
"2394",2672,"Thirteenth Floor, The (1999)","Thriller",3.66764705882353
"3273",3461,"Lord of the Flies (1963)","Thriller",3.6657223796034
"3051",3204,"Boys from Brazil, The (1978)","Thriller",3.66176470588235
"4483",736,"Twister (1996)","Thriller",3.64995495495495
"11610",1792,"U.S. Marshalls (1998)","Thriller",3.64765625
"2353",2605,"Entrapment (1999)","Thriller",3.64388674388674
"2973",3102,"Jagged Edge (1985)","Thriller",3.64344262295082
"13110",1876,"Deep Impact (1998)","Thriller",3.64145251396648
"2594",2826,"13th Warrior, The (1999)","Thriller",3.63246666666667
"4443",70,"From Dusk Till Dawn (1996)","Thriller",3.62992341356674
"4514",748,"Arrival, The (1996)","Thriller",3.62374100719424
"7612",1615,"Edge, The (1997)","Thriller",3.62114537444934
"2692",288,"Natural Born Killers (1994)","Thriller",3.61592857142857
"2418",2688,"General's Daughter, The (1999)","Thriller",3.61309696092619
"2053",2349,"Mona Lisa (1986)","Thriller",3.61077844311377
"4343",627,"Last Supper, The (1995)","Thriller",3.60330578512397
"25110",2764,"Thomas Crown Affair, The (1968)","Thriller",3.6
"1654",2184,"Trouble with Harry, The (1955)","Thriller",3.59863945578231
"4544",786,"Eraser (1996)","Thriller",3.5925
"2535",280,"Murder in the First (1995)","Thriller",3.57075471698113
"1623",2181,"Marnie (1964)","Thriller",3.56779661016949
"8512",164,"Devil in a Blue Dress (1995)","Thriller",3.56728232189974
"7713",1616,"Peacemaker, The (1997)","Thriller",3.55772151898734
"4124",482,"Killing Zoe (1994)","Thriller",3.52840909090909
"4622",861,"Supercop (1992)","Thriller",3.51282051282051
"2254",2550,"Haunting, The (1963)","Thriller",3.50273224043716
"1934",229,"Death and the Maiden (1994)","Thriller",3.5
"3815",1320,"Alien³ (1992)","Thriller",3.49351351351351
"6212",1544,"Lost World: Jurassic Park, The (1997)","Thriller",3.49215139442231
"3517",3627,"Carnival of Souls (1962)","Thriller",3.47663551401869
"8914",1648,"House of Yes, The (1997)","Thriller",3.47422680412371
"3402",3529,"Postman Always Rings Twice, The (1981)","Thriller",3.47096774193548
"3763",3770,"Dreamscape (1984)","Thriller",3.47041420118343
"1834",2232,"Cube (1997)","Thriller",3.46781115879828
"2423",2699,"Arachnophobia (1990)","Thriller",3.4533650329188
"1964",230,"Dolores Claiborne (1994)","Thriller",3.45272206303725
"1918",2287,"Them! (1954)","Thriller",3.43928571428571
"2033",2344,"Runaway Train (1985)","Thriller",3.4228855721393
"10215",1717,"Scream 2 (1997)","Thriller",3.4221978021978
"6113",1518,"Breakdown (1997)","Thriller",3.42090395480226
"11015",1754,"Fallen (1998)","Thriller",3.38659793814433
"2217",1205,"Transformers: The Movie, The (1986)","Thriller",3.38095238095238
"4119",481,"Kalifornia (1993)","Thriller",3.38095238095238
"2884",3015,"Coma (1978)","Thriller",3.375
"4172",521,"Romeo Is Bleeding (1993)","Thriller",3.36752136752137
"1207",1824,"Homegrown (1998)","Thriller",3.36538461538462
"5212",1459,"Absolute Power (1997)","Thriller",3.35789473684211
"2274",2553,"Village of the Damned (1960)","Thriller",3.35616438356164
"1695",22,"Copycat (1995)","Thriller",3.34920634920635
"1188",18,"Four Rooms (1995)","Thriller",3.3375796178344
"2622",2840,"Stigmata (1999)","Thriller",3.33472553699284
"4133",490,"Malice (1993)","Thriller",3.32432432432432
"3917",3896,"Way of the Gun, The (2000)","Thriller",3.31843575418994
"4802",95,"Broken Arrow (1996)","Thriller",3.30760188087774
"2044",2346,"Stepford Wives, The (1975)","Thriller",3.30666666666667
"2463",2722,"Deep Blue Sea (1999)","Thriller",3.30384615384615
"12710",185,"Net, The (1995)","Thriller",3.30043936731107
"2152",2475,"52 Pick-Up (1986)","Thriller",3.3
"3623",3697,"Predator 2 (1990)","Thriller",3.29797822706065
"2266",2551,"Dead Ringers (1988)","Thriller",3.29100529100529
"3119",3257,"Bodyguard, The (1992)","Thriller",3.28833865814696
"5513",1480,"Smilla's Sense of Snow (1997)","Thriller",3.27924528301887
"2552",2803,"Pelican Brief, The (1993)","Thriller",3.27456647398844
"1496",2110,"Dead Men Don't Wear Plaid (1982)","Thriller",3.26430517711172
"3723",376,"River Wild, The (1994)","Thriller",3.24571428571429
"2304",257,"Just Cause (1995)","Thriller",3.2280701754386
"3263",3445,"Eyes of Laura Mars (1978)","Thriller",3.19424460431655
"4424",695,"True Crime (1995)","Thriller",3.17777777777778
"2283",2554,"Children of the Damned (1963)","Thriller",3.17647058823529
"1844",225,"Disclosure (1994)","Thriller",3.17322834645669
"9212",1658,"Life Less Ordinary, A (1997)","Thriller",3.17241379310345
"1544",2126,"Snake Eyes (1998)","Thriller",3.15727272727273
"9713",1686,"Red Corner (1997)","Thriller",3.15596330275229
"9913",170,"Hackers (1995)","Thriller",3.14641744548287
"3133",3273,"Scream 3 (2000)","Thriller",3.14306759098787
"11212",1769,"Replacement Killers, The (1998)","Thriller",3.13793103448276
"2402",2676,"Instinct (1999)","Thriller",3.13533834586466
"3093",3249,"Hand That Rocks the Cradle, The (1992)","Thriller",3.13529411764706
"2804",2956,"Someone to Watch Over Me (1987)","Thriller",3.13475177304965
"2018",2334,"Siege, The (1998)","Thriller",3.12435233160622
"40110",423,"Blown Away (1994)","Thriller",3.10859728506787
"1984",2320,"Apt Pupil (1998)","Thriller",3.10695187165775
"1863",2263,"Seventh Sign, The (1988)","Thriller",3.10285714285714
"2542",2802,"Tequila Sunrise (1988)","Thriller",3.08823529411765
"4452",707,"Mulholland Falls (1996)","Thriller",3.08727272727273
"4023",426,"Body Snatchers (1993)","Thriller",3.0817843866171
"9810",1687,"Jackal, The (1997)","Thriller",3.07715133531157
"4662",89,"Nick of Time (1995)","Thriller",3.07423580786026
"11412",1779,"Sphere (1998)","Thriller",3.06312384473198
"2106",100,"City Hall (1996)","Thriller",3.0625
"798",1037,"Lawnmower Man, The (1992)","Thriller",3.05918699186992
"2293",2561,"True Crime (1999)","Thriller",3.0381679389313
"2236",2540,"Corruptor, The (1999)","Thriller",3.03205128205128
"8612",1644,"I Know What You Did Last Summer (1997)","Thriller",3.02631578947368
"4814",1422,"Murder at 1600 (1997)","Thriller",3.02491103202847
"2993",3113,"End of Days (1999)","Thriller",3.0238475177305
"6813",1591,"Spawn (1997)","Thriller",3.01421052631579
"1237",1833,"Mercury Rising (1998)","Thriller",3.00378787878788
"4393",662,"Fear (1996)","Thriller",2.984375
"3652",3708,"Firestarter (1984)","Thriller",2.9812734082397
"12210",1831,"Lost in Space (1998)","Thriller",2.97241379310345
"10413",172,"Johnny Mnemonic (1995)","Thriller",2.96288209606987
"3103",1003,"Extreme Measures (1996)","Thriller",2.94214876033058
"3933",3937,"Runaway (1984)","Thriller",2.94074074074074
"1995",2322,"Soldier (1998)","Thriller",2.93103448275862
"11513",1783,"Palmetto (1998)","Thriller",2.92727272727273
"7216",1603,"Mimic (1997)","Thriller",2.92528735632184
"3816",3826,"Hollow Man (2000)","Thriller",2.91901234567901
"3982",407,"In the Mouth of Madness (1995)","Thriller",2.9119170984456
"3916",1332,"Believers, The (1987)","Thriller",2.91176470588235
"3484",3557,"Jennifer 8 (1992)","Thriller",2.89655172413793
"6714",1590,"Event Horizon (1997)","Thriller",2.89578313253012
"4615",849,"Escape from L.A. (1996)","Thriller",2.88737769080235
"3216",338,"Virtuosity (1995)","Thriller",2.88235294117647
"4203",547,"Surviving the Game (1994)","Thriller",2.87903225806452
"2444",2713,"Lake Placid (1999)","Thriller",2.87636579572447
"3192",3355,"Ninth Gate, The (2000)","Thriller",2.8758389261745
"2203",2505,"8MM (1999)","Thriller",2.86397058823529
"3543",3660,"Puppet Master (1989)","Thriller",2.85987261146497
"5713",1488,"Devil's Own, The (1997)","Thriller",2.85763888888889
"1953",23,"Assassins (1995)","Thriller",2.85714285714286
"4523",76,"Screamers (1995)","Thriller",2.85393258426966
"2332",259,"Kiss of Death (1995)","Thriller",2.84313725490196
"5116",1438,"Dante's Peak (1997)","Thriller",2.81619937694704
"4082",464,"Hard Target (1993)","Thriller",2.78240740740741
